,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
1,AR-1A,Bout_4,57O_0+1_20220328_193900.wav,300,24000,FALSE,42.8479969,8965.091577,0.994911761,2.389553,0.072758,0.831505107,2.18E-05
2,AR-1A,Bout_4,57O_0+1_20220329_041700.wav,300,24000,FALSE,32.58340154,8898.084615,0.514418436,2.116712,0.408701,0.863078799,9.46E-06
3,AR-1A,Bout_4,57O_0+1_20220329_051700.wav,300,24000,FALSE,28.72532681,8923.308594,0.446474554,2.311389,0.224007,0.85420905,9.46E-06
4,AR-1A,Bout_4,57O_0+1_20220329_061700.wav,300,24000,FALSE,51.44822688,9721.931413,0.678616475,2.383534,0.096378,0.872552874,1.29E-05
5,AR-1A,Bout_4,57O_0+1_20220329_071700.wav,300,24000,FALSE,46.27127244,9254.380585,0.352620474,2.234281,0.316672,0.802036511,1.89E-05
6,AR-1A,Bout_4,57O_0+1_20220329_081700.wav,300,24000,FALSE,40.45553419,9170.513369,0.602496058,2.391058,0.060174,0.88610197,9.57E-06
7,AR-1A,Bout_4,57O_0+1_20220329_154000.wav,300,24000,FALSE,32.90362828,8943.675258,0.485561871,2.313769,0.230815,0.899031376,8.17E-06
8,AR-1A,Bout_4,57O_0+1_20220329_164000.wav,300,24000,FALSE,32.62767149,8967.831453,0.550399643,2.395389,0.038946,0.918345211,6.99E-06
9,AR-1A,Bout_4,57O_0+1_20220329_174000.wav,300,24000,FALSE,34.31716933,8932.832922,0.636706375,2.356052,0.164319,0.91225532,7.58E-06
10,AR-1A,Bout_4,57O_0+1_20220329_184000.wav,300,24000,FALSE,38.20976283,8988.613623,0.962938915,2.343343,0.186007,0.83705159,1.85E-05
11,AR-1A,Bout_4,57O_0+1_20220329_194000.wav,300,24000,FALSE,48.11338167,8967.041133,0.981938388,2.278051,0.271177,0.84756454,2.05E-05
12,AR-1A,Bout_4,57O_0+1_20220330_041600.wav,300,24000,FALSE,42.67600053,8944.946073,0.868319815,1.941111,0.517117,0.865074236,1.13E-05
13,AR-1A,Bout_4,57O_0+1_20220330_051600.wav,300,24000,FALSE,44.11223222,8935.272729,0.834649896,1.866459,0.547851,0.865342542,1.25E-05
14,AR-1A,Bout_4,57O_0+1_20220330_061600.wav,300,24000,FALSE,48.57539647,9117.63174,0.795313437,2.323967,0.21091,0.878665784,1.23E-05
15,AR-1A,Bout_4,57O_0+1_20220330_071600.wav,300,24000,FALSE,40.37831705,8984.787887,0.429198888,1.718462,0.614708,0.840661205,1.28E-05
16,AR-1A,Bout_4,57O_0+1_20220330_081600.wav,300,24000,FALSE,52.5583431,9148.639005,0.62664089,2.247482,0.286714,0.882026121,1.33E-05
17,AR-1A,Bout_4,57O_0+1_20220330_154000.wav,300,24000,FALSE,58.02762021,8995.87703,0.261363082,2.364029,0.126814,0.916714216,2.28E-05
18,AR-1A,Bout_4,57O_0+1_20220330_164000.wav,300,24000,FALSE,55.35849242,9014.135265,0.346069182,2.39466,0.039232,0.924004026,1.55E-05
