"","Site","Bout","Date","Duration","SampRate","Stereo","BIO","ACI","NDSI","ADI","AEI","H","M"
"1","AR-3B","Bout 7","MINI4_20220627_173300.wav",300,24000,FALSE,81.1981580142385,10311.769227933,0.741157676397646,2.016692,0.477485,0.89304904259963,5.47916730358861e-06
"2","AR-3B","Bout 7","MINI4_20220627_183300.wav",300,24000,FALSE,54.5913013248734,9560.1415073452,0.591729791199009,2.329547,0.207783,0.903666524879321,2.97421038707111e-06
"3","AR-3B","Bout 7","MINI4_20220627_193300.wav",300,24000,FALSE,67.2501109449936,9536.25431561035,0.822942830394984,2.258498,0.267705,0.901194434581086,3.03224640831376e-06
"4","AR-3B","Bout 7","MINI4_20220627_203300.wav",300,24000,FALSE,79.9018676543653,9211.73615048228,0.979000289495072,2.294364,0.19924,0.90858090891988,4.79895604369834e-06
"5","AR-3B","Bout 7","MINI4_20220627_213300.wav",300,24000,FALSE,66.1209694298984,9256.65722007262,0.991019400781296,2.379913,0.104794,0.921106219957805,1.47970960399694e-05
"6","AR-3B","Bout 7","MINI4_20220628_043200.wav",300,24000,FALSE,58.604890117356,10558.71642351,0.998493417702076,2.351474,0.16912,0.87074617547159,8.45779638113849e-06
"7","AR-3B","Bout 7","MINI4_20220628_053200.wav",300,24000,FALSE,99.2773282013066,11874.2226002007,0.999905780162057,1.97946,0.490014,0.653308173495259,2.15349873249312e-05
"8","AR-3B","Bout 7","MINI4_20220628_063200.wav",300,24000,FALSE,111.551738316479,10719.2510796364,0.986159098324266,2.064283,0.419155,0.809014109234968,7.62837768766678e-06
"9","AR-3B","Bout 7","MINI4_20220628_073200.wav",300,24000,FALSE,107.737850385822,9611.81153972617,0.939122703185679,2.084326,0.407089,0.89092121533494,5.16382583472934e-06
"10","AR-3B","Bout 7","MINI4_20220628_083200.wav",300,24000,FALSE,74.9034453793865,9072.45701227376,0.914198114012041,2.377415,0.08927,0.941279391323993,2.91800933095052e-06
"11","AR-3B","Bout 7","MINI4_20220628_173400.wav",300,24000,FALSE,84.495979218913,9231.65678533929,0.809450992908797,1.985138,0.448689,0.891203674853567,3.63922182974048e-06
"12","AR-3B","Bout 7","MINI4_20220628_183400.wav",300,24000,FALSE,85.9921520444518,9380.73737852576,0.802083942503365,2.062324,0.3987,0.901444927238942,3.29710773952129e-06
"13","AR-3B","Bout 7","MINI4_20220628_193400.wav",300,24000,FALSE,88.0419177814497,9197.39160324036,0.800339525995902,1.966063,0.467716,0.904478178093525,3.44244884900741e-06
"14","AR-3B","Bout 7","MINI4_20220628_203400.wav",300,24000,FALSE,105.111211149862,9689.04426078087,0.985771172512794,2.036418,0.439757,0.882465860084049,5.75447547900621e-06
"15","AR-3B","Bout 7","MINI4_20220628_213400.wav",300,24000,FALSE,71.172413730802,9294.93163731967,0.972261424904679,2.391831,0.049653,0.955340856068934,1.09636837651473e-05
"16","AR-3B","Bout 7","MINI4_20220629_043200.wav",300,24000,FALSE,92.8670370854419,10669.5164320706,0.983390358315639,1.961267,0.464527,0.776362459446274,4.86469224634493e-05
"17","AR-3B","Bout 7","MINI4_20220629_053200.wav",300,24000,FALSE,116.196357750786,11147.6261249057,0.992283977647217,1.861904,0.509073,0.728578690060797,2.92635977754256e-05
"18","AR-3B","Bout 7","MINI4_20220629_063200.wav",300,24000,FALSE,102.111766817049,10900.2367615251,0.993177492147937,2.012202,0.437892,0.729896321958486,9.57623365582227e-06
"19","AR-3B","Bout 7","MINI4_20220629_073200.wav",300,24000,FALSE,93.2126893834347,9480.01468969209,0.818613168867974,1.840291,0.54481,0.8514459729895,5.59807123850715e-06
"20","AR-3B","Bout 7","MINI4_20220629_083200.wav",300,24000,FALSE,108.014593161453,9921.45989019147,0.841253897391273,1.947679,0.500839,0.852431056759865,5.40415117027958e-06
"21","AR-3B","Bout 7","MINI4_20220629_173400.wav",300,24000,FALSE,55.1874958998963,9232.05018583029,-0.101536031027743,1.534432,0.660301,0.842363798658521,3.57370661672732e-06
"22","AR-3B","Bout 7","MINI4_20220629_183400.wav",300,24000,FALSE,81.3845569904057,9404.6774615018,0.876002583786739,2.175712,0.362835,0.881414081770136,3.305053321916e-06
"23","AR-3B","Bout 7","MINI4_20220629_193400.wav",300,24000,FALSE,75.608854027668,9231.22157146073,0.96840128565561,2.286694,0.190677,0.892582994912008,3.40995121388672e-06
"24","AR-3B","Bout 7","MINI4_20220629_203400.wav",300,24000,FALSE,110.04152961306,9399.20810067182,0.994013101195749,1.963208,0.500351,0.863400785260513,7.08060844364751e-06
"25","AR-3B","Bout 7","MINI4_20220629_213400.wav",300,24000,FALSE,68.5941340801806,9813.98191191747,0.999557451788882,2.265092,0.258041,0.814367481059305,4.45219024971623e-05
"26","AR-3B","Bout 7","MINI4_20220630_043200.wav",300,24000,FALSE,71.1593932108363,10429.5007131223,0.999086624766398,2.176327,0.363837,0.769635328210939,3.13679767118747e-05
"27","AR-3B","Bout 7","MINI4_20220630_053200.wav",300,24000,FALSE,66.1065488227395,18454.2402823703,0.994259268611022,2.283386,0.263079,0.766148480753051,0.000103868307907311
"28","AR-3B","Bout 7","MINI4_20220630_063200.wav",300,24000,FALSE,104.983328731698,9781.53106005625,0.993103964764789,1.582489,0.662362,0.830254417976573,1.0690101810508e-05
"29","AR-3B","Bout 7","MINI4_20220630_073200.wav",300,24000,FALSE,95.8765017939968,9707.68612882163,0.952223505545837,2.172067,0.304606,0.888566459230256,5.67019997510284e-06
"30","AR-3B","Bout 7","MINI4_20220630_083200.wav",300,24000,FALSE,97.363290352212,9804.46918410306,0.918964853370821,2.267895,0.238298,0.906897645975987,4.26641350652405e-06
"31","AR-3B","Bout 7","MINI4_20220630_173400.wav",300,24000,FALSE,73.1848840180409,8971.9763120207,0.75657615288358,1.272293,0.750509,0.845459326889732,3.57488319285131e-06
"32","AR-3B","Bout 7","MINI4_20220630_183400.wav",300,24000,FALSE,78.4028628957579,9099.34595443492,0.976790400346497,1.83853,0.563363,0.868377526091155,4.66374066095584e-06
"33","AR-3B","Bout 7","MINI4_20220630_193400.wav",300,24000,FALSE,62.5809245522965,9215.84156044567,-0.252058485427585,0.563544,0.868085,0.76022007492894,2.86473045479452e-06
"34","AR-3B","Bout 7","MINI4_20220630_203400.wav",300,24000,FALSE,80.731440459085,9325.72855613875,0.995303862077904,2.288327,0.217537,0.852453363377708,5.99212084617377e-06
"35","AR-3B","Bout 7","MINI4_20220630_213400.wav",300,24000,FALSE,59.0127946749732,9167.59072151479,0.992625972430051,2.380629,0.09759,0.893864288124638,1.83246684102495e-05
"36","AR-3B","Bout 7","MINI4_20220701_043300.wav",300,24000,FALSE,55.2510179702022,11306.7893390625,0.998789602757735,1.601013,0.657275,0.756202674441801,1.03537316009113e-05
"37","AR-3B","Bout 7","MINI4_20220701_053300.wav",300,24000,FALSE,85.3443796641105,12207.2970702573,0.998150606516373,1.851992,0.553629,0.691306126786093,6.69508046825504e-05
"38","AR-3B","Bout 7","MINI4_20220701_063300.wav",300,24000,FALSE,102.29148761619,11651.844017509,0.998064569477335,2.038356,0.436431,0.693051628098949,1.44191737688169e-05
"39","AR-3B","Bout 7","MINI4_20220701_073300.wav",300,24000,FALSE,85.3930335324626,10809.2144558517,0.993659537371525,2.095774,0.394662,0.846568159971811,6.17277337602629e-06
"40","AR-3B","Bout 7","MINI4_20220701_083300.wav",300,24000,FALSE,82.2741398680564,9443.89024303163,0.611723734160591,2.030254,0.465892,0.926710358228531,2.92267418324618e-06
"41","AR-4A","Bout 7","MINI2_20220627_202300.wav",300,24000,FALSE,82.2569146693715,8889.23550833897,0.874324643138744,2.122857,0.368271,0.862519966856803,1.70078847841965e-05
"42","AR-4A","Bout 7","MINI2_20220627_212300.wav",300,24000,FALSE,80.4511571403427,8838.99577190678,0.989861844948217,2.325612,0.20095,0.895954013620097,4.56457649264025e-05
"43","AR-4A","Bout 7","MINI2_20220628_043000.wav",300,24000,FALSE,83.2626728176996,8802.59948436003,0.926980332463054,2.215366,0.292011,0.916427223034612,2.70202696271625e-05
"44","AR-4A","Bout 7","MINI2_20220628_053000.wav",300,24000,FALSE,92.6464910289169,9455.96070832985,0.553322102872753,1.670056,0.623338,0.807129900012753,2.64012512503759e-05
"45","AR-4A","Bout 7","MINI2_20220628_063000.wav",300,24000,FALSE,112.969459269784,9901.47331074443,0.911857277551947,2.106847,0.330529,0.827091991073293,2.47209251951453e-05
"46","AR-4A","Bout 7","MINI2_20220628_073000.wav",300,24000,FALSE,98.758427630933,10370.5749872703,0.964365453031534,2.144665,0.330903,0.82707892532893,2.99575784458776e-05
"47","AR-4A","Bout 7","MINI2_20220628_083000.wav",300,24000,FALSE,62.5604968446145,9523.80261708208,0.94506166228189,2.34944,0.171061,0.884537972606758,1.26630000489234e-05
"48","AR-4A","Bout 7","MINI2_20220628_172300.wav",300,24000,FALSE,80.5315961304773,9518.11815054202,0.0360862080225365,1.777413,0.578781,0.770850572858527,1.66616441227046e-05
"49","AR-4A","Bout 7","MINI2_20220628_182300.wav",300,24000,FALSE,90.5389836034043,9246.09991922414,0.631218524694471,1.576209,0.665026,0.808259884470912,1.83657369529692e-05
"50","AR-4A","Bout 7","MINI2_20220628_192300.wav",300,24000,FALSE,82.7413096897328,8884.32472397566,0.328534368395925,1.685571,0.61464,0.784260508624862,2.09963401342136e-05
"51","AR-4A","Bout 7","MINI2_20220628_202300.wav",300,24000,FALSE,100.71145747061,8883.56058775578,0.345604962389187,2.079389,0.403941,0.836641755355673,1.42179543614385e-05
"52","AR-4A","Bout 7","MINI2_20220628_212300.wav",300,24000,FALSE,88.7432566057684,8745.35149772015,0.930670746163478,2.364345,0.112631,0.924830729487051,2.64208225228954e-05
"53","AR-4A","Bout 7","MINI2_20220629_043100.wav",300,24000,FALSE,74.3930737961969,9089.08654484561,0.460501314815093,1.948577,0.460952,0.808925354529833,2.46455080471292e-05
"54","AR-4A","Bout 7","MINI2_20220629_053100.wav",300,24000,FALSE,113.532350798815,9822.10806580018,0.980294875002036,1.880341,0.498793,0.752871720604932,3.8183664104583e-05
"55","AR-4A","Bout 7","MINI2_20220629_063100.wav",300,24000,FALSE,126.772233559345,10971.7947543941,0.990785185979823,1.88456,0.50582,0.737902994018057,5.63029535483403e-05
"56","AR-4A","Bout 7","MINI2_20220629_073100.wav",300,24000,FALSE,134.309476907721,9892.01876982725,0.850168101189195,1.934168,0.47893,0.779293843600246,4.42440209080203e-05
"57","AR-4A","Bout 7","MINI2_20220629_083100.wav",300,24000,FALSE,101.984225336152,9816.72451124184,0.907217004832688,1.971902,0.437583,0.791245638460061,2.89375806101016e-05
"58","AR-4A","Bout 7","MINI2_20220629_172300.wav",300,24000,FALSE,61.3797171168287,9207.94581203179,0.179692596214929,2.041142,0.457061,0.795228750116593,1.46772836088267e-05
"59","AR-4A","Bout 7","MINI2_20220629_182300.wav",300,24000,FALSE,77.310158839682,9131.95364030351,0.970073995311795,2.023781,0.426598,0.817134500478145,1.90970537397356e-05
"60","AR-4A","Bout 7","MINI2_20220629_192300.wav",300,24000,FALSE,78.2920718226433,9073.01915013116,0.977976302412038,2.152472,0.359383,0.831065256291591,1.68580940367416e-05
"61","AR-4A","Bout 7","MINI2_20220629_202300.wav",300,24000,FALSE,40.6371396240266,9853.40985883181,0.784228883286982,1.849704,0.544385,0.876020693132517,2.33735240717142e-05
"62","AR-4A","Bout 7","MINI2_20220629_212300.wav",300,24000,FALSE,89.7205910747952,8868.06557365631,0.987791881805894,2.31961,0.197339,0.91254018264215,3.92310656516361e-05
"63","AR-4A","Bout 7","MINI2_20220630_043100.wav",300,24000,FALSE,36.4898597522938,13598.3893052986,0.99944676819216,2.052638,0.424144,0.680551169516978,2.39294822635715e-05
"64","AR-4A","Bout 7","MINI2_20220630_053100.wav",300,24000,FALSE,38.7543834900827,13636.8314907101,0.99962408581831,2.047401,0.438546,0.653666290212279,4.96040684186405e-05
"65","AR-4A","Bout 7","MINI2_20220630_063100.wav",300,24000,FALSE,110.016177012348,10970.6580365906,0.983219157646158,2.151269,0.336855,0.80987002419687,3.61075937055768e-05
"66","AR-4A","Bout 7","MINI2_20220630_073100.wav",300,24000,FALSE,122.852363530773,10084.2704990847,0.976730510823408,2.077522,0.403275,0.817344385655682,2.88277852899217e-05
"67","AR-4A","Bout 7","MINI2_20220630_083100.wav",300,24000,FALSE,118.910800332306,10110.4509926181,0.983740505754709,1.998207,0.456537,0.853457490508634,1.79843306291525e-05
"68","AR-4A","Bout 7","MINI2_20220630_172300.wav",300,24000,FALSE,74.9730282405084,9066.72991926851,0.406844537018275,0.604443,0.861561,0.784255046920693,1.63853127361233e-05
"69","AR-4A","Bout 7","MINI2_20220630_182300.wav",300,24000,FALSE,94.7842523516898,10055.3713136116,0.770204591285852,2.048231,0.432784,0.825692874973787,1.94602240383714e-05
"70","AR-4A","Bout 7","MINI2_20220630_192300.wav",300,24000,FALSE,59.0167240990917,8948.51191189295,0.698848449015876,2.140184,0.384772,0.809976516640404,1.5054745170931e-05
"71","AR-4A","Bout 7","MINI2_20220630_202300.wav",300,24000,FALSE,86.3784424293062,8807.87053527572,0.847787174315805,2.186413,0.314056,0.875523676078805,1.51515269240582e-05
"72","AR-4A","Bout 7","MINI2_20220630_212300.wav",300,24000,FALSE,77.2610396667104,8800.94838780232,0.987115828965002,2.363548,0.136268,0.899988848946451,3.81629946917409e-05
"73","AR-4A","Bout 7","MINI2_20220701_043200.wav",300,24000,FALSE,64.7311884708866,9528.94104126717,0.960357743548175,2.270893,0.268548,0.872423892952265,1.46112390311565e-05
"74","AR-4A","Bout 7","MINI2_20220701_053200.wav",300,24000,FALSE,103.498776429816,9803.6791925901,0.947226326628019,2.107163,0.350129,0.833579120083489,2.41680403621588e-05
"75","AR-4A","Bout 7","MINI2_20220701_063200.wav",300,24000,FALSE,113.620530840339,10184.1513620219,0.984211016478107,2.126754,0.345436,0.798638458443955,3.82564022759467e-05
"76","AR-4A","Bout 7","MINI2_20220701_073200.wav",300,24000,FALSE,118.19368887474,9746.37620444018,0.947982123166624,1.940674,0.49772,0.78803049267586,3.75379786706441e-05
"77","AR-4A","Bout 7","MINI2_20220701_083200.wav",300,24000,FALSE,86.7886520460503,9634.28283272827,0.952912366043426,2.122479,0.397946,0.868733313870356,1.29094742675802e-05
"78","AR-4B","Bout 7","MINI3_20220627_192300.wav",300,24000,FALSE,105.909821437448,9039.20394990329,-0.216191880042006,1.798948,0.560956,0.789772236225622,2.29721927216132e-05
"79","AR-4B","Bout 7","MINI3_20220627_202300.wav",300,24000,FALSE,93.2655522538427,8963.38936022474,0.17237419799687,1.831814,0.556786,0.808648990897643,2.00330492845954e-05
