"","Season","Site","N","SampleCoverage","ObservedS","Hill_0","Hill_1","Hill_2","sampleCoverage_at_Estimation","NMDS1","NMDS2"
"1","ALL",1,313,0.9745,36,36.8099286529753,23.1160707650795,17.5989199696241,0.976444462334653,-0.0383577928881537,-0.170293834251693
"2","ALL",2,340,0.9795,38,37.1385735532493,25.5817625220513,20.6795536393593,0.976230827197464,-0.0891052890354776,-0.377910944240904
"3","ALL",3,397,0.9899,35,32.7143392677846,20.0371275866656,12.9308683389047,0.977245278908057,-0.145495627385797,0.409259935256362
"4","ALL",4,317,0.9812,38,36.8286284377543,27.8003169202654,24.0081833473131,0.975387545045452,-0.0304117663645216,0.259940254407787
"5","ALL",5,305,0.9706,35,37.5758141369439,21.6020930469206,15.3202277394248,0.976192727422375,0.113003988255541,0.0304933156248343
"6","ALL",6,313,0.9872,31,29.0234468806609,18.7726363287732,13.0061277406463,0.97598152450862,-0.433539526276371,-0.0033084738846754
"7","ALL",7,308,0.9742,37,37.0258268047741,22.0602496806233,16.9853178155774,0.974319581973535,0.0933200823672366,-0.230950921603858
"8","ALL",8,268,0.959,37,49.5325316987971,25.9862275408048,20.2779436203607,0.976056313951891,0.530585931327543,0.0827706686921479
"9","Spring",1,133,0.9859,26,25.8274608400974,18.9088311161923,15.0405834416432,0.976655548471647,-0.117373686790229,-0.0271084928908212
"10","Spring",2,172,0.9885,28,27.3729761815306,21.4795991007267,17.3829785463013,0.977360122837586,-0.15864482378841,-0.0567743466245563
"11","Spring",3,151,0.9873,26,25.6744164391799,19.5549958526538,16.2132270697941,0.976711117257345,0.506024406937342,0.166730213956275
"12","Spring",4,129,0.954,26,28.2581347943041,19.710825240103,15.2224926060425,0.977247613559118,0.632549304636953,0.0120200803248888
"13","Spring",5,121,0.9508,23,26.1073922325213,17.036050092499,13.2214060860441,0.976503958755213,0.247665519821396,-0.210008730423019
"14","Spring",6,137,0.9858,25,24.7040575387374,17.4869199303258,12.769450373852,0.976916704728723,-0.201506800918784,-0.162180758437344
"15","Spring",7,142,0.9723,25,25.3681729803847,18.7572501960961,15.7136558591524,0.978735898711124,-0.334530127443952,0.31046294155978
"16","Spring",8,118,0.9408,27,37.1822194483349,23.6284187749841,18.095570267028,0.969773254403491,-0.574183792454315,-0.0331409074652036
"17","Summer",1,94,0.9269,25,27.6896331929464,19.6683683915134,14.9865081485439,0.975560897301814,-0.0178434522292894,-0.253768757147821
"18","Summer",2,75,0.9474,17,19.0603893320273,14.9871781003297,13.4117778273478,0.974849635538144,-0.165808951397417,-0.220466157125326
"19","Summer",3,85,0.9655,21,21.5118281218252,18.5960880008077,16.8457943925234,0.977429655363923,0.340459945750708,0.125704893685037
"20","Summer",4,87,0.9316,21,26.8078728827169,18.1654166518305,14.6916792313896,0.976240931989068,0.358306000974865,0.163980430324732
"21","Summer",5,108,0.9635,21,21.9962168439505,15.5431358928455,11.8759824569022,0.97724757882915,0.052075879400805,0.219479290289373
"22","Summer",6,103,0.9516,20,26.3542582178038,15.9524384533739,11.7306468304297,0.976467255629317,-0.155327391249878,0.288575434664827
"23","Summer",7,117,0.9493,25,27.2649301108223,19.353093761168,15.3308511712439,0.975038541469134,0.229436060332542,-0.36372199131508
"24","Summer",8,79,0.9497,15,19.1347201949763,10.5949244904366,7.46449737224645,0.976025388648159,-0.641298091582335,0.0402168566242588
"25","Winter",1,86,0.9194,22,27.6012355439256,18.0258191864049,13.5532773475842,0.975336407163755,-0.303268538269493,-0.216738803883739
"26","Winter",2,93,0.9154,28,31.7816488631827,24.3789251789826,19.6343872456922,0.976026682354547,-0.15682101164916,-0.413411875800549
"27","Winter",3,161,0.9505,24,29.4174285965673,10.5033956792702,4.9503474394016,0.97581810817057,-0.517748939618831,0.292851838659806
"28","Winter",4,101,0.9418,25,26.702667069313,19.5942311584534,15.3953636074944,0.975144510580586,-0.234041609280052,0.0636918659202803
"29","Winter",5,76,0.9096,22,25.5926117120243,18.4982092897407,14.3191771056116,0.976767951331493,0.114029386843245,-0.163522232871604
"30","Winter",6,73,0.932,17,23.2720984441169,14.3453922746647,10.5578955092457,0.975235067210254,0.245507048935266,0.180801911624292
"31","Winter",7,49,0.8197,19,27.2759441074975,17.8059539790178,11.8340635268346,0.970137759282887,0.293233063631276,0.500563407267496
"32","Winter",8,71,0.8604,22,33.5415452552164,18.5396812740898,12.1956867353287,0.958438700050318,0.559110599407749,-0.244236110915982
