"","Season","Site","N","SampleCoverage","ObservedS","Hill_0","Hill_1","Hill_2","sampleCoverage_at_Estimation","NMDS1","NMDS2"
"1","ALL",1,51,0.9027,11,12.0284121108715,6.61888862600227,4.78366111951588,0.910900874207041,-0.361583964044905,-0.263843020083499
"2","ALL",2,79,0.9623,11,8.23438884225206,5.82038038916082,4.49387424249729,0.908939012688623,-0.11499474292471,-0.463864722535067
"3","ALL",3,34,0.9445,6,5.32821029265397,2.56435969672927,1.77959653991401,0.907976918019152,0.567177442258175,0.239872773468627
"4","ALL",4,37,0.9488,7,6.23418314760505,3.60609021213684,2.51284279711252,0.913617181521885,0.489304851846046,-0.323547412196752
"5","ALL",5,35,0.8588,9,13.5371453485024,5.5718411538942,3.31267166505827,0.911561490763318,0.0760384087382576,0.505281438373665
"6","ALL",6,90,0.9336,12,8.36124953948979,4.74376649303704,3.35954692083761,0.911228265468241,0.227660280302848,-0.079094172652215
"7","ALL",7,35,0.8588,9,13.5371453485025,6.04467302074302,4.07348242811502,0.911561490763318,-0.536492266851385,0.0696455526446492
"8","ALL",8,43,0.887,12,12.9114230441418,8.10043876216295,6.10928961748634,0.912268211174483,-0.347110009324326,0.315549562980592
"9","Spring",1,29,0.9013,9,9.0987460815047,6.45175207547446,4.82758620689655,0.905742376745512,-0.267207263190869,-0.614605703603672
"10","Spring",2,45,0.9804,8,7.07657756042966,4.9890097907276,3.99910203488445,0.915918527441318,-0.147761748048005,-0.619332905194036
"11","Spring",3,23,0.9203,5,4.87196888603151,2.48791765676676,1.76509641130627,0.91304347826087,-0.0772796241324909,0.568483398586918
"12","Spring",4,22,0.9585,4,3.47878932949553,2.23931966072824,1.75474780462377,0.910606199354044,0.115883607575828,0.579372551261288
"13","Spring",5,21,0.8639,6,7.01540309652058,4.20979061461978,3.04937076476283,0.912298106637034,0.799299588634787,-0.0469437132037034
"14","Spring",6,45,0.9124,8,6.57296781144249,4.15354392040256,3.06665246440032,0.90951489074721,0.356744414833283,0.357327371774592
"15","Spring",7,22,0.8678,6,7.34332479525445,4.24331729504046,3.21621621621622,0.909165238455381,0.223945167875319,-0.483895096845468
"16","Spring",8,14,0.5125,9,18.9023733686289,13.2688718970515,8.30869565217391,0.760059334215723,-1.00362414354785,0.259594097224082
"17","Summer",1,18,0.9006,5,5.09941520467836,4.04418978191075,3.62921348314607,0.911049553708833,-0.306333287695286,-0.373892999325067
"18","Summer",2,23,0.8734,7,8.29600287798208,5.68873297172219,4.61438249088067,0.91151926623221,-0.00769350025083042,-0.329552982025237
"19","Summer",3,10,1,2,1.77777777777778,1.53351041259576,1.39751552795031,0.911111111111111,0.502543444002893,-0.23277037899448
"20","Summer",4,13,0.858,5,5.70407719755353,4.35167751767088,3.52857142857143,0.912147950107668,0.389713514270363,0.410034654992199
"21","Summer",5,12,0.7643,5,7.51599171136083,4.38100737827273,2.8,0.908056669220619,0.202703591099659,-0.105504392255826
"22","Summer",6,39,0.9513,7,6.0242579548629,3.84853740586365,2.91411045138973,0.910147003617202,-0.0287184429863015,0.219671129459625
"23","Summer",7,8,0.7812,4,5.06278216838837,4.09548633917886,3.33333333333333,0.914097771048546,-0.469703854306694,0.0843860277747591
"24","Summer",8,25,0.8433,8,11.187011458032,6.63774919789774,4.93548387096774,0.908306356286369,-0.282511464133803,0.327628940374026
"25","Winter",1,4,0.1818,4,7.59632741318518,8.95301349684372,12,0.835695893306396,-0.0587598910762822,-0.192416524702518
"26","Winter",2,11,0.6537,6,10.7865463920973,7.15041204658411,4.45945945945946,0.881610434255716,0.11518007429125,0.00672955515619513
"27","Winter",3,1,1,1,1,1,1,1,-0.48439514205348,0.0548938509959103
"28","Winter",4,2,0.6667,2,2.33333333333333,2.57894736842136,3,0.888888888888889,0.425652633744952,-0.351789001495578
"29","Winter",5,2,0.6667,2,2.33333333333333,2.57894736842136,3,0.888888888888889,0.476246646306246,0.332683977632961
"30","Winter",6,6,0.3939,5,9.54246121526429,9.34954066904485,8.4375,0.806890413508875,-0.00436882834092565,0.40052888719005
"31","Winter",7,5,0.4857,4,6.82939006383529,6.80486897543574,6.25,0.889912866262185,-0.327683354873348,0.150682836536221
"32","Winter",8,4,0.625,3,4.14404296875,4.11809787759245,3.85714285714286,0.9110107421875,-0.141872137998412,-0.40131358131324
