"","Season","Site","N","SampleCoverage","ObservedS","Hill_0","Hill_1","Hill_2","sampleCoverage_at_Estimation","NMDS1","NMDS2"
"1","ALL",1,260,1,5,4.72899235240549,2.61579470138616,2.06819063015135,0.991377810999023,-0.1439936868994,-0.162481854923457
"2","ALL",2,131,1,5,4.46581475547505,2.68993319037288,2.15390930757974,0.990035004965703,-0.144196418639827,-0.162949572768018
"3","ALL",3,39,1,4,3.95639566748397,3.13507665651075,2.62810336144215,0.989519884382927,-0.144263433518577,-0.162670131908001
"4","ALL",4,37,0.9488,5,5.79092459852766,3.23768200568786,2.5904021049019,0.990418506608142,-0.477081719518597,0.561685811626742
"5","ALL",5,119,1,4,3.85289419723038,2.73655646980919,2.42629087087917,0.991251937297429,-0.144007376217369,-0.162747760667068
"6","ALL",6,291,0.9966,5,3.99656354677139,1.73590228979098,1.45258087414719,0.989690721525403,0.599052451801067,0.125714520374475
"7","ALL",7,71,1,4,3.96783322511161,3.37837978256941,2.96309557891729,0.992424678942615,-0.144309321936332,-0.162492798676459
"8","ALL",8,60,1,5,4.9662898134358,2.99966672172955,2.48058341195297,0.983333333333333,0.598799504929034,0.125941786941786
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Spring",1,96,0.9898,5,5.01020189003436,2.74356015587057,2.30778863010268,0.990008458213767,-0.17775027451132,0.512409719379787
"11","Spring",2,48,1,4,3.94141408288118,2.98336014586583,2.61178287178972,0.99021058040327,-0.0402874258327022,-0.0683180260391193
"12","Spring",3,24,1,3,2.96574433684902,2.17726845074978,1.80171356496868,0.986330681988681,0.109351526610554,-0.403139571020644
"13","Spring",4,19,0.9003,5,6.65192645712905,4.17026286301375,3.28071356445641,0.987220506053884,0.72742855325395,0.343461922331111
"14","Spring",5,52,0.9815,4,4.23538469358441,2.3723277376787,2.01271503365744,0.990377361441501,-0.44406592837248,-0.00990654323276884
"15","Spring",6,56,1,3,2.73076108237587,1.95957782337333,1.75479977895709,0.982142857142857,-0.753546093190999,-0.00197428694211678
"16","Spring",7,34,1,4,3.97425411603319,3.6852978916838,3.47296703885362,0.991134903571237,0.380207825401648,-0.271612802590864
"17","Spring",8,20,1,4,3.98947291922717,2.75894901541253,2.13616460513551,0.989473317018518,0.19866181664135,-0.100920411885385
"18","Summer",1,52,1,5,4.95766773291438,3.19599654230538,2.42137988478566,0.991379405876504,-0.394831295473928,-0.524754055723093
"19","Summer",2,24,0.9617,4,4.34198249388303,2.3550880808976,1.72444729253444,0.989025266177309,0.515066828853605,-0.150654217191996
"20","Summer",3,2,1,1,1,1,1,1,0.459456646901262,0.550289989340841
"21","Summer",5,16,1,2,1.98863625793032,1.86862563516979,1.7777775234035,0.991870587878201,0.0521311306647411,0.363241503470869
"22","Summer",6,52,1,2,1.93981903107228,1.2365727226311,1.12017658643698,0.991402717656726,-0.742056981726946,0.430950004469811
"23","Summer",7,9,1,3,3,2.88884551680244,2.79310344827586,1,0.332082291936123,-0.415225842392157
"24","Summer",8,8,1,3,3,2.6493511285621,2.46153846153846,1,-0.221848621154857,-0.253847381974275
"25","Winter",1,112,1,4,3.738680728164,2.14002732500558,1.71936618098811,0.989697773785505,-0.131016386528758,-0.22491450878897
"26","Winter",2,59,1,4,3.91897617961961,2.39175855559318,1.93650885009553,0.983050847457627,-0.0692096125807511,-0.659813364039211
"27","Winter",3,13,0.9341,4,4.38895353819485,3.67785985857916,3.21782178217822,0.989630725236627,0.59332001187164,0.529235070068928
"28","Winter",4,18,1,3,2.99346343605662,2.15841721052415,1.770064815704,0.993463770582002,0.814465757416323,-0.401266354613423
"29","Winter",5,51,1,4,3.93512958634706,2.98503584629615,2.51727538555609,0.990541291136708,0.134079004901243,0.278392048196606
"30","Winter",6,183,0.9891,5,5.20646136443228,1.78695353774838,1.46462412824866,0.990258963531043,-0.811612395096653,-0.186656460562906
"31","Winter",7,28,1,3,2.97413593128053,2.25466516444743,1.89999996391372,0.991304331227735,0.21319342493098,0.254198173159139
"32","Winter",8,32,0.9706,4,4.31703739954511,2.77653692533208,2.4187898089172,0.989858327245158,-0.743219804914024,0.410825396579836
