"","GroundDiv","IndCom","Index","Time","rho","p","up","low"
"1","Hill_0","BIO_winter","BIO","winter",0.5,0.2148,0.925925925925926,-0.291139240506329
"2","Hill_0","ACI_winter","ACI","winter",0.428571428571429,0.3156,0.96875,-0.481481481481481
"3","Hill_0","NDSI_winter","NDSI","winter",0,0.9956,0.846153846153846,-0.89873417721519
"4","Hill_0","ADI_winter","ADI","winter",-0.166666666666667,0.7508,1,-0.924050632911392
"5","Hill_0","AEI_winter","AEI","winter",0.166666666666667,0.7554,0.925925925925926,-1
"6","Hill_0","H_winter","H","winter",-0.333333333333333,0.502,0.848101265822785,-1
"7","Hill_0","M_winter","M","winter",0.452380952380952,0.3124,0.974683544303797,-0.62962962962963
"8","Hill_0","PCAI_winter","PCAI","winter",0.166666666666667,0.7234,0.924050632911392,-0.924050632911392
"9","Hill_0","BIO_spring","BIO","spring",0.714285714285714,0.0684,1,-0.0769230769230769
"10","Hill_0","ACI_spring","ACI","spring",-0.238095238095238,0.5666,0.620253164556962,-0.96875
"11","Hill_0","NDSI_spring","NDSI","spring",-0.19047619047619,0.675,0.848101265822785,-0.972972972972973
"12","Hill_0","ADI_spring","ADI","spring",-0.333333333333333,0.5232,0.842105263157895,-1
"13","Hill_0","AEI_spring","AEI","spring",0.547619047619048,0.208,1,-0.407407407407407
"14","Hill_0","H_spring","H","spring",-0.547619047619048,0.2196,0.424657534246575,-1
"15","Hill_0","M_spring","M","spring",0.523809523809524,0.2314,1,-0.538461538461539
"16","Hill_0","PCAI_spring","PCAI","spring",0.380952380952381,0.4376,1,-0.777777777777778
"17","Hill_0","BIO_summer","BIO","summer",-0.261904761904762,0.6052,0.594936708860759,-1
"18","Hill_0","ACI_summer","ACI","summer",-0.523809523809524,0.241,0.506172839506173,-1
"19","Hill_0","NDSI_summer","NDSI","summer",-0.119047619047619,0.7994,0.848101265822785,-0.923076923076923
"20","Hill_0","ADI_summer","ADI","summer",-0.0714285714285714,0.8912,0.736842105263158,-0.864864864864865
"21","Hill_0","AEI_summer","AEI","summer",0.0952380952380952,0.819,1,-0.726027397260274
"22","Hill_0","H_summer","H","summer",-0.0476190476190476,0.903,0.721518987341772,-0.851851851851852
"23","Hill_0","M_summer","M","summer",0.666666666666667,0.0764,1,-0.111111111111111
"24","Hill_0","PCAI_summer","PCAI","summer",0.214285714285714,0.64,0.972972972972973,-0.835616438356164
"25","Hill_0","BIO_morning","BIO","morning",0.0238095238095238,0.9838,0.848101265822785,-0.923076923076923
"26","Hill_0","ACI_morning","ACI","morning",-0.619047619047619,0.1226,0.215189873417721,-1
"27","Hill_0","NDSI_morning","NDSI","morning",-0.428571428571429,0.3618,0.725,-1
